Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-01-05,1000657.0400216631,1005848.114472542,1007002.1942626068,1005548.8880123289,1006231.2021453192
2021-01-06,1020636.7526280838,1017267.5257031393,1017610.450391496,1020034.1436229307,1019851.496287666
2021-01-07,1020128.3444698404,1024836.9804585363,1024674.4181552569,1027039.5444621883,1026220.8049077543
2021-01-08,1017810.6569639281,1024636.9617557547,1026585.6317919167,1028920.1707672273,1027655.9754484392
2021-01-11,1011687.0547932588,1021183.5828753327,1022954.3600826099,1025966.1748337536,1024927.3450347979
2021-01-12,1024950.7541078689,1023717.2834175305,1023571.5876011659,1027951.3593602743,1028421.1203125274
2021-01-13,1028782.3764371495,1027318.8042259987,1022810.7562644699,1027679.430438152,1029077.2937792804
2021-01-14,1029131.4808000921,1026644.8713307746,1017852.314977847,1025398.0837799568,1028219.4191062256
2021-01-15,1021213.6322875571,1021490.7372696347,1013821.9403231662,1019533.1947150666,1020619.4731671052
2021-01-19,1020860.1679169135,1027114.7439708431,1017077.3058816904,1023379.812844661,1025242.1910119257
2021-01-20,1023107.1548879818,1033428.6071392365,1029369.9485419677,1031911.5181543574,1034066.6605964397
2021-01-21,1030248.020730301,1038288.0287821067,1031769.4330222115,1031502.2030895469,1034259.984533504
2021-01-22,1019618.4627079566,1025377.9648696163,1022602.0939791347,1025578.7665903784,1025268.766507832
2021-01-25,1018461.9426272438,1026175.2761831323,1023225.6132062624,1024355.215684612,1024042.1063217174
2021-01-26,1022726.9140788572,1026690.70955288,1022743.4742003438,1023595.520720622,1021818.2872509918
2021-01-27,1017058.3719011,1007041.5893624445,999341.9389458449,1002623.067223828,1001247.8100340383
2021-01-28,1020438.2537379544,1016451.487660345,1009515.5675778,1012555.2581799683,1011591.2877308856
2021-01-29,994845.5347846393,995280.1603403733,985913.6955282344,992017.193042135,990541.2452963698
2021-02-01,1001851.9804538158,1002981.358983496,995529.7817938116,999603.6093136172,999102.3962144793
2021-02-02,1018444.6501048711,1014501.0647165091,1008709.816112333,1015338.5230744098,1014415.0640519183
2021-02-03,1017411.0332377921,1015907.7582931569,1007165.5927344732,1016533.5757257425,1015503.9874325173
2021-02-04,1034817.763027205,1027304.7737438024,1024134.6825931787,1027526.858150811,1028421.6509836295
2021-02-05,1042099.205423868,1027052.9875665605,1030213.6000331062,1030583.4090271097,1033188.7895664766
2021-02-08,1054176.543872975,1033237.3062649815,1037114.7319054354,1038442.077330175,1041175.1514485942
2021-02-09,1055498.8276646314,1032381.6447631859,1035679.9388885624,1038113.5396305386,1039713.7959191578
2021-02-10,1056534.1698181096,1033770.6996949788,1037176.4648546203,1040163.9276462278,1040579.4179391902
2021-02-11,1054724.0901887224,1034463.1375744588,1038467.8593503084,1039928.9624464089,1042259.87886309
2021-02-12,1060415.2595800953,1038166.3572197602,1038315.1862144589,1040845.4947426213,1043890.4662695364
2021-02-16,1064015.045088513,1037431.9811590152,1036813.116358394,1042974.5922229363,1046142.2844348303
2021-02-17,1067033.5680670792,1041464.2357948681,1036945.238855672,1045961.2868338324,1049948.8582153497
2021-02-18,1067043.4308527391,1041215.3488825404,1037835.3711874721,1042001.515771102,1046118.617346393
2021-02-19,1058413.26868809,1040030.1085293308,1030803.0920630314,1042033.9559609559,1046701.3777126895
2021-02-22,1066709.4912008694,1038292.704307025,1031613.879099998,1042939.5025355046,1048790.9660750702
2021-02-23,1073161.679603584,1039893.3933761253,1033957.426756,1043457.6408666779,1050047.2799414436
2021-02-24,1086215.2373645552,1054069.1447319337,1043514.1015598373,1057503.1445012714,1063610.494170966
2021-02-25,1072603.1976868494,1035778.8856077451,1025974.7393610248,1038979.7314727742,1046184.1665852369
2021-02-26,1052287.4281050113,1023409.6478730142,1014555.3461776836,1023441.0097765167,1029426.5706464435
2021-03-01,1078250.3872808185,1043340.7438664038,1037185.0871795934,1043396.7670442825,1050110.0799038974
2021-03-02,1076033.4293921369,1038634.8949637496,1032634.4612412238,1038632.6472900939,1045620.3317048413
2021-03-03,1083222.0704755662,1038853.9235482805,1027360.5925266136,1034614.9750120068,1041751.2284741814
2021-03-04,1073466.4092372686,1026370.6077121503,1013336.2944185853,1023168.7577449337,1030117.2983699216
2021-03-05,1093175.6921943356,1045455.4820703092,1031563.6080481632,1042099.4825595852,1051086.211775164
2021-03-08,1114574.2752599262,1053073.9118665778,1043084.3746039777,1052228.511799182,1060727.1842143112
2021-03-09,1104696.535290623,1057579.3179530324,1044079.9073013517,1053231.055833832,1061825.4388413238
2021-03-10,1121463.0075372467,1071510.435398503,1057155.6381930246,1068592.3904361667,1076784.1907046316
2021-03-11,1119734.2825493515,1076067.9807117397,1063400.3575200795,1074831.5048784357,1081248.1229014527
2021-03-12,1129914.8090935098,1083992.803249467,1068298.4269771546,1084527.5028188068,1088530.2342370802
2021-03-15,1137033.1352971736,1090514.8128555992,1073529.2587016134,1090311.679140415,1094826.1472992892
2021-03-16,1127768.7585413156,1089819.1909211327,1070960.7307945234,1086092.774290206,1092062.694160892
2021-03-17,1134958.0696021668,1095070.3196691559,1071832.0723238545,1092360.063877448,1098812.9400311525
2021-03-18,1135934.1097009352,1091259.9749077072,1063859.2819501918,1087295.5169467037,1091175.3145556243
2021-03-19,1115541.8123534357,1085381.166862573,1050463.9955859778,1079542.3761935018,1083169.8313913152
2021-03-22,1111093.639807077,1090810.0492824202,1056544.4111472291,1082957.8370587423,1088169.9167087215
2021-03-23,1104476.911315225,1082262.2136836224,1050331.3388651167,1072765.6076086333,1078197.606009663
2021-03-24,1110042.2621210248,1081599.693587485,1048987.7780465619,1072663.3757752688,1078327.8813033658
2021-03-25,1124138.8401331818,1090618.3781633396,1054465.447114069,1079261.464828372,1085506.6758843279
2021-03-26,1131767.1578114815,1107745.930578768,1069775.0871338341,1094262.7908695987,1103127.826491254
2021-03-29,1135946.0962673135,1111163.072591829,1070075.011847565,1097521.5436464015,1106347.7329060694
2021-03-30,1136142.1278388381,1104942.3309593205,1067195.887438142,1094066.9865364165,1101576.2255651583
2021-03-31,1120461.9624578855,1102781.4817199758,1063602.659343385,1091241.071193163,1098042.4398300287
2021-04-01,1120772.571414322,1108033.4666875522,1071109.1494396697,1096920.6892932898,1104000.4486526344
2021-04-05,1125793.087770068,1122885.9663177354,1084374.5521598915,1109294.3599563465,1116509.7176218538
2021-04-06,1129415.3814158712,1117579.962274494,1085423.5678719124,1106086.5292305497,1113873.0247848695
2021-04-07,1131156.3119409413,1121052.1409647206,1086694.5154583189,1106616.6872336608,1114971.1874831466
2021-04-08,1132088.2207370347,1124953.7417810867,1088006.9928120621,1108512.8227928134,1115418.967926844
2021-04-09,1138097.0475061825,1133744.7612498943,1096953.1494823515,1118340.5201493644,1123830.4055144824
2021-04-12,1139606.3032593094,1129164.2028817434,1096262.880740103,1116514.0469899382,1120748.5696268445
2021-04-13,1133249.5183595824,1126591.2748337274,1091785.4792053644,1114259.9061483336,1117988.5457366197
2021-04-14,1145111.7465493958,1125802.7085767116,1095115.5907260124,1116034.035575127,1119370.2359526
2021-04-15,1148891.1379321185,1137517.0159106262,1102136.4055086516,1126128.6213462136,1127534.6252784568
2021-04-16,1158141.0433257618,1142682.1339757193,1110132.2359873687,1131577.4100476187,1133385.7737912377
2021-04-19,1157297.5952846047,1139048.5156178433,1105727.8180147999,1127506.3600866245,1129534.3688133147
2021-04-20,1151561.8965069167,1133727.851043061,1098590.2751461572,1119025.3829622571,1121024.7941173026
2021-04-21,1163696.671243211,1144116.6928698781,1109453.9405865497,1129480.946622834,1132272.3928918825
2021-04-22,1155574.3225228447,1132234.2340394498,1101264.2827319936,1118846.6388086,1120058.6668537962
2021-04-23,1167747.8380304168,1136765.978075081,1106926.2004471163,1126376.7694120286,1125168.4408694257
2021-04-26,1160036.1829660654,1135005.6596254755,1106102.1473069626,1124328.1261874272,1122785.906531775
2021-04-27,1154426.4841496968,1132386.747304576,1107866.853131182,1124439.275841907,1122249.9477541146
2021-04-28,1154976.8042959436,1126497.0378864626,1099635.529817936,1118994.8814291675,1118881.0817059753
2021-04-29,1170312.4074955254,1133805.2185154355,1109358.2157895083,1126934.9733163284,1126559.6202251103
2021-04-30,1160529.9817712873,1128734.7398002318,1104777.7367006834,1120797.1860009336,1119716.159880246
2021-05-03,1170529.6848898244,1138457.082341039,1115275.7490772149,1128684.28793654,1128301.9082966668
2021-05-04,1173017.4206313733,1137536.8461585117,1113361.0503446609,1129339.4246790488,1128499.7120548987
