,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2021-01-04,0.003060845,0.004430891,0.004292825,9.450535e-05,0.0008230201,0.002407866,0.00013651788,0.0013143129,0.0040972945,2.5503548e-05,0.24232785,7.975718e-05,0.0038625952,0.012752551,6.2863444e-05,0.000510675,0.006057436,0.20671831,0.0013789079,0.24232785,8.142446e-05,0.0013327117,1.1001666e-05,0.0098396195,0.24232785,0.0050003603,0.00011106481,0.00012303237,0.0044105574
2021-01-05,0.002954676,0.0041945963,0.0045499234,0.000100574776,0.0009878202,0.0026396383,0.00017023501,0.0012944457,0.0029355083,3.0204572e-05,0.24458829,7.580709e-05,0.003853666,0.0116811395,7.123007e-05,0.0005036197,0.0057458146,0.20137364,0.0014937136,0.24458829,8.966815e-05,0.0015843281,1.1104289e-05,0.010196803,0.24458829,0.004897015,0.00010337735,0.00013567835,0.004560977
2021-01-06,0.0047800066,0.008426591,0.008588729,0.00084052136,0.00246627,0.0058292183,0.0011860029,0.0045908983,0.014886597,0.00023616124,0.20924231,0.00037752482,0.0062022125,0.013869846,0.00064668024,0.0019808637,0.007142874,0.10339932,0.0034259364,0.15935643,0.00061374827,0.004143528,0.00010673354,0.012889662,0.40639493,0.008585925,0.0006820547,0.00069767865,0.0084108
2021-01-07,0.0013918708,0.005904447,0.0032682654,0.00042154238,0.001812199,0.004932463,0.0010463062,0.0039163027,0.028265506,9.754112e-05,0.14482906,0.00018216782,0.00346989,0.009483186,0.00051102607,0.0012467724,0.002210236,0.054418243,0.0022896372,0.25477186,0.00041491853,0.0035483134,6.711649e-05,0.007298557,0.45079917,0.0068764887,0.00032437823,0.00034553802,0.005857115
2021-01-08,0.002039433,0.0044505484,0.0037036135,0.0001249378,0.0008862915,0.0027845348,0.00022223135,0.0017458249,0.008046846,2.7170225e-05,0.26158422,7.11301e-05,0.0032485349,0.010379536,9.89354e-05,0.0005887916,0.0037547115,0.15144785,0.0013686361,0.26158422,0.00010701799,0.0016135959,1.18759035e-05,0.008493514,0.26158422,0.0051820897,0.00011956482,0.00013142954,0.0045986357
2021-01-11,0.0027553083,0.0041638985,0.0045130504,8.323135e-05,0.000971205,0.0026932969,0.00014914735,0.0013131227,0.0027841327,2.326102e-05,0.23355895,5.9238213e-05,0.00388019,0.012059148,5.803297e-05,0.00046288795,0.0056505986,0.23355895,0.0014177959,0.23355895,7.372954e-05,0.0015638941,1.0603559e-05,0.011047077,0.23355895,0.0050263964,8.09268e-05,0.00011463796,0.0048092627
2021-01-12,0.003838335,0.003803097,0.0060826857,0.00015386032,0.0012188394,0.0024602397,0.0002864408,0.0014599628,0.0017479985,5.0270988e-05,0.26251632,8.184883e-05,0.004032025,0.010268088,0.000106865795,0.0005378782,0.005616342,0.1803469,0.0016960241,0.22837664,0.000110655055,0.0021783672,1.19182205e-05,0.010688945,0.26251632,0.0045134495,0.00010024217,0.00018714061,0.0050122472
2021-01-13,0.0032716608,0.0036622614,0.005305411,0.000111681846,0.0011462818,0.0024269912,0.00024040736,0.0013251819,0.0017719343,3.5037872e-05,0.24180782,6.2145955e-05,0.0038751506,0.01075604,8.481705e-05,0.0004533866,0.0049705366,0.21057498,0.0016325621,0.24180782,8.7826804e-05,0.0021606784,1.0978056e-05,0.010709809,0.24180782,0.004699011,7.32162e-05,0.00014622566,0.0049823956
2021-01-14,0.0021924148,0.004079741,0.003472002,9.8308716e-05,0.0011751542,0.0029068997,0.00022616786,0.001428263,0.003467694,3.0408735e-05,0.25488657,7.447311e-05,0.0038067843,0.011725279,9.2363596e-05,0.00048712498,0.0040491773,0.1713906,0.0018072147,0.25488657,0.000104029066,0.0021775952,1.1571831e-05,0.009553362,0.25488657,0.0058317548,8.7687935e-05,0.00014411018,0.0049200673
2021-01-15,0.0019821906,0.0039738184,0.0033904042,8.249846e-05,0.0012021883,0.0028941394,0.00022494508,0.0013703887,0.0031118507,2.4903566e-05,0.24469076,5.861412e-05,0.0038394507,0.012194533,8.157524e-05,0.0004250717,0.0036682636,0.20187037,0.0018193534,0.24469076,8.7307715e-05,0.0023939237,1.1108942e-05,0.00995542,0.24469076,0.0059575555,6.510454e-05,0.00012276882,0.005119991
