,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2021-01-04,0.05503673,0.04583336,0.045833286,0.055035885,0.009205732,0.009205943,2.5328006e-06,0.009205779,3.0706153e-06,0.009205852,0.045862205,0.055035986,0.0092060985,0.04583434,0.05503592,0.055035952,0.05503663,0.055060983,0.009205819,0.045862153,0.055035893,0.05503623,0.009206271,0.055037104,3.1907213e-05,0.05503651,0.045832872,0.055035893,3.063637e-06
2021-01-05,0.05503551,0.04581113,0.045811117,0.055034675,0.009226745,0.009226965,2.5369918e-06,0.00922677,2.932181e-06,0.009226844,0.045840476,0.05503477,0.009227092,0.04581202,0.05503471,0.055034738,0.055035386,0.055059288,0.009226826,0.045840424,0.055034682,0.05503505,0.009227263,0.055035945,3.23809e-05,0.05503529,0.045810666,0.055034682,3.0855635e-06
2021-01-06,0.057643306,0.047673207,0.047673162,0.057642378,0.0099729495,0.00997333,2.7620076e-06,0.009973166,4.2865613e-06,0.009972939,0.047694717,0.057642434,0.009973348,0.04767376,0.057642397,0.009972901,0.057643075,0.05765341,0.009973072,0.04768932,0.057642363,0.057642933,0.009973356,0.057643708,4.6162553e-05,0.05764324,0.047672413,0.057642367,3.5481546e-06
2021-01-07,0.05750399,0.046357617,0.046357248,0.05750336,0.011149288,0.011149676,2.7519288e-06,0.011149523,5.993922e-06,0.011149323,0.046373878,0.057503443,0.011149481,0.046358008,0.057503413,0.011149226,0.057503596,0.05750973,0.011149366,0.046386674,0.05750337,0.05750393,0.011149756,0.057504207,5.5366043e-05,0.057504147,0.046357002,0.057503358,3.3278614e-06
2021-01-08,0.05774908,0.048678957,0.048678815,0.05774837,0.0090726605,0.009072878,2.6635246e-06,0.009072738,3.5390747e-06,0.009072801,0.04870573,0.05774847,0.0090729045,0.048679546,0.057748407,0.0090726325,0.057748772,0.05776417,0.00907273,0.048705675,0.057748374,0.057748724,0.009073255,0.05774928,2.9886702e-05,0.05774893,0.048678543,0.057748374,3.131923e-06
2021-01-11,0.057799276,0.04915192,0.04915189,0.057798516,0.008649797,0.008649984,2.6566154e-06,0.008649818,2.9730077e-06,0.00864993,0.049174234,0.057798617,0.0086500775,0.049152654,0.05779855,0.00864975,0.057799075,0.057821266,0.00864986,0.04917418,0.05779852,0.05779886,0.0086503755,0.05779962,2.5370975e-05,0.057799023,0.049151555,0.05779852,3.1224076e-06
2021-01-12,0.05778848,0.04904977,0.049049933,0.057787597,0.008741029,0.008741172,2.670649e-06,0.008741041,2.8779984e-06,0.0087411385,0.049075775,0.057787694,0.008741308,0.049050387,0.05778763,0.0087409625,0.057788167,0.057805758,0.008741096,0.049072288,0.0577876,0.057788003,0.008741583,0.057788696,2.904184e-05,0.05778807,0.04904943,0.057787605,3.1582763e-06
2021-01-13,0.057795327,0.049114592,0.049114693,0.05779451,0.008683086,0.008683233,2.6658633e-06,0.008683091,2.8777044e-06,0.008683204,0.049138118,0.05779461,0.008683353,0.049115263,0.05779454,0.00868302,0.05779501,0.05781534,0.008683153,0.04913806,0.05779451,0.05779491,0.008683651,0.057795595,2.653923e-05,0.057794996,0.049114272,0.057794515,3.1468742e-06
2021-01-14,0.055024892,0.045614243,0.04561411,0.05502414,0.009413122,0.009413358,2.5442516e-06,0.009413142,3.0085514e-06,0.009413196,0.045645695,0.05502424,0.00941345,0.045615174,0.055024177,0.055024203,0.055024657,0.055045664,0.009413221,0.045645643,0.05502415,0.055024594,0.009413616,0.05502536,3.448621e-05,0.05502489,0.045613777,0.05502415,3.1454933e-06
2021-01-15,0.05503617,0.045826275,0.045826145,0.055035453,0.009212382,0.0092126075,2.5437275e-06,0.0092123905,2.9542064e-06,0.009212454,0.045855705,0.05503555,0.0092127025,0.04582725,0.05503549,0.05503551,0.05503591,0.055060167,0.009212477,0.045855653,0.05503546,0.05503593,0.009212872,0.055036698,3.24408e-05,0.0550362,0.04582583,0.05503546,3.1547672e-06
2021-01-19,0.055039383,0.045885913,0.045885734,0.055038676,0.009155973,0.009156218,2.5369543e-06,0.0091559915,3.032273e-06,0.009156061,0.04591428,0.055038776,0.0091563035,0.04588691,0.055038713,0.055038735,0.055039182,0.05506502,0.009156067,0.04591423,0.055038683,0.0550391,0.009156478,0.055039905,3.139926e-05,0.055039436,0.045885447,0.055038687,3.1259503e-06
2021-01-20,0.055041444,0.045920707,0.04592079,0.055040598,0.009123068,0.0091232695,2.535485e-06,0.009123085,2.8265192e-06,0.009123163,0.045947902,0.0550407,0.009123437,0.045921743,0.055040635,0.055040658,0.05504127,0.055068307,0.009123149,0.04594785,0.0550406,0.055041015,0.009123579,0.055042103,3.0198693e-05,0.05504126,0.045920268,0.05504061,3.1694833e-06
2021-01-21,0.055041257,0.045912765,0.045913216,0.055040233,0.009130617,0.009130779,2.5362938e-06,0.009130633,2.7209937e-06,0.009130716,0.045939606,0.055040326,0.009131027,0.045913782,0.055040263,0.055040278,0.055041082,0.055067565,0.00913069,0.045939554,0.05504023,0.055040643,0.009131132,0.055041976,2.9829887e-05,0.0550408,0.04591234,0.055040237,3.2147148e-06
2021-01-22,0.055039715,0.04587629,0.04587704,0.055038422,0.009165368,0.009165521,2.526569e-06,0.00916546,2.756892e-06,0.009165511,0.045902032,0.055038515,0.009165927,0.045877326,0.055038452,0.055038482,0.05503994,0.055064783,0.009165431,0.04590198,0.05503842,0.05503873,0.009165931,0.05504037,2.8859975e-05,0.055038907,0.04587574,0.055038426,3.1940842e-06
2021-01-25,0.055036277,0.04581009,0.04581182,0.055034935,0.009228121,0.009228243,2.5279483e-06,0.009228204,2.7313768e-06,0.009228282,0.04583546,0.05503502,0.0092287455,0.045810908,0.055034958,0.05503498,0.055036884,0.055060983,0.009228192,0.04583541,0.055034928,0.055035204,0.009228706,0.05503678,2.8551265e-05,0.05503531,0.045809478,0.05503493,3.2150515e-06
2021-01-26,0.055031583,0.045717403,0.04572036,0.055030115,0.009315984,0.009316093,2.5267377e-06,0.009316067,2.6876678e-06,0.009316155,0.045742024,0.0550302,0.009316653,0.045718122,0.055030137,0.055030156,0.055032615,0.055055413,0.009316053,0.04574197,0.055030107,0.055030372,0.009316587,0.0550322,2.779929e-05,0.055030443,0.04571679,0.055030107,3.3010426e-06
2021-01-27,0.055027813,0.04564743,0.04565196,0.055026367,0.00938225,0.009382324,2.5297559e-06,0.0093823355,2.6823088e-06,0.009382437,0.045672044,0.055026438,0.009383048,0.045647997,0.05502637,0.055026382,0.05502883,0.055051718,0.009382337,0.045671992,0.055026338,0.05502661,0.009382877,0.055027988,2.7876586e-05,0.05502661,0.045646742,0.05502634,3.3214658e-06
